,source,values,pvalues,target,source cell type,target cell type,CT
4235,NTS,0.12382233742950718,0.008,NTSR2,Endothelial,Neurons2,10
1610,FGFR3,0.1136871985179268,0.001,NOS3,Endothelial,Neurons2,10
1615,VEGFC,0.0927018488516862,0.0,NOS3,Endothelial,Neurons2,10
2079,PF4,0.07091347651232713,0.0,CX3CR1,Endothelial,Neurons2,10
2375,SFRP5,0.9155296717090108,0.0,WNT5A,Astrocytes,Endothelial,10
2289,SFRP5,0.8791081826667098,0.0,FZD4,Astrocytes,Microglia,10
2136,SFRP5,0.8695786133180315,0.0,FZD8,Astrocytes,Neurons2,10
3880,EDN1,0.608366762663161,0.0,EDNRB,Microglia,Ependymal,10
593,LGALS3BP,0.527157493140328,0.0,ITGB1,Microglia,Ependymal,10
581,SPP1,0.5068042337812407,0.0,ITGB1,Microglia,Ependymal,10
584,LGALS1,0.5008360172939011,0.0,ITGB1,Microglia,Ependymal,10
570,CXCL12,0.49869280229611,0.0,ITGB1,Microglia,Ependymal,10
575,VTN,0.4810688259973691,0.0,ITGB1,Microglia,Ependymal,10
578,VCAM1,0.48097840177760187,0.0,ITGB1,Microglia,Ependymal,10
571,VEGFA,0.4779671070039551,0.0,ITGB1,Microglia,Ependymal,10
1583,VEGFA,0.4427398466256706,0.0,MCL1,Microglia,Ependymal,10
2038,OSM,0.43785988591178665,0.0,F3,Microglia,Ependymal,10
524,AGT,0.28087794539884464,0.003,PIK3CA,Microglia,Ependymal,10
523,CXCL12,0.2807507865526707,0.0,PIK3CA,Microglia,Ependymal,10
525,VEGFA,0.26002509126051576,0.0,PIK3CA,Microglia,Ependymal,10
2040,VIP,0.2585736545983537,0.006,F3,Microglia,Ependymal,10
488,IGF1,0.2570432627525928,0.0,PIK3CA,Microglia,Ependymal,10
321,LGALS1,0.2559040240666573,0.0,STAT3,Microglia,Ependymal,10
314,AGT,0.25388796791504015,0.005,STAT3,Microglia,Ependymal,10
313,CXCL12,0.2537608090688662,0.0,STAT3,Microglia,Ependymal,10
287,IGF1,0.23005328526878832,0.0,STAT3,Microglia,Ependymal,10
4171,VEGFA,0.1396742983426137,0.0,AKT3,Microglia,Ependymal,10
1232,EFNB3,0.0828189236875608,0.0,PAK1,Microglia,Ependymal,10
4059,AVP,0.5359144464209176,0.991,PTH1R,Microglia,NG2,10
1245,EFNB3,0.11092108787237953,0.92,EPHB1,Microglia,NG2,10
2903,VTN,0.7650445564772731,0.0,HSP90AA1,Microglia,Endothelial,10
3085,AGT,0.5512317363077884,0.796,SGK1,Microglia,Endothelial,10
3069,EDN1,0.5319822678930339,0.0,PLCB1,Microglia,Endothelial,10
3067,AGT,0.510913558655799,0.0,PLCB1,Microglia,Endothelial,10
3066,CXCL12,0.510786399809625,0.0,PLCB1,Microglia,Endothelial,10
2671,AVP,0.4996776796786624,0.998,ADRB2,Microglia,Endothelial,10
1590,CCL5,0.19967614871718956,0.0,CX3CL1,Microglia,Endothelial,10
1232,EFNB3,0.059246233716227545,0.032,PAK1,Microglia,Endothelial,10
3085,AGT,1.8674735320431644,0.0,SGK1,Microglia,Oligodendrocytes,10
1245,EFNB3,0.4390326073722657,0.0,EPHB1,Microglia,Oligodendrocytes,10
3069,EDN1,0.17203059018311012,0.021,PLCB1,Microglia,Oligodendrocytes,10
3067,AGT,0.15096188094587515,0.482,PLCB1,Microglia,Oligodendrocytes,10
3066,CXCL12,0.1508347220997012,0.0,PLCB1,Microglia,Oligodendrocytes,10
831,VEGFA,0.45771788383156603,0.0,IGF1R,Microglia,Neurons2,10
814,IGF1,0.4547360553236431,0.0,IGF1R,Microglia,Neurons2,10
3962,CXCL12,0.40919786411748926,0.0,ROCK1,Microglia,Neurons2,10
4163,EDN1,0.26648342150381243,0.0,ADCY2,Microglia,Neurons2,10
1257,SPP1,0.2534498800785083,0.0,ITGB8,Microglia,Neurons2,10
1746,VIP,0.1910964280513707,0.109,AR,Microglia,Neurons2,10
3134,VEGFA,0.1804140676222803,0.0,NRP1,Microglia,Neurons2,10
1245,EFNB3,0.17170367507609632,0.243,EPHB1,Microglia,Neurons2,10
531,VCL,0.2744309502135955,0.0,PIK3CA,Oligodendrocytes,Ependymal,10
807,SPARC,0.7831388803923643,0.0,ERBB3,Oligodendrocytes,NG2,10
4059,AVP,0.42150358323396464,1.0,PTH1R,Oligodendrocytes,NG2,10
4279,SPON1,0.14841823044296135,0.725,LRP8,Oligodendrocytes,NG2,10
2671,AVP,0.3852668164917095,1.0,ADRB2,Oligodendrocytes,Endothelial,10
3261,AVP,0.6023255624853058,1.0,PLAU,Oligodendrocytes,Microglia,10
4034,AVP,0.36738176160451036,1.0,ADCYAP1R1,Oligodendrocytes,Microglia,10
3993,AVP,0.3795990817221633,1.0,AVPR1A,Oligodendrocytes,Neurons2,10
608,DUSP18,0.5061883347880258,0.0,ITGB1,Neurons2,Ependymal,10
3970,NXPH1,0.472525833277215,0.0,NRXN3,Neurons2,Ependymal,10
521,BDNF,0.37171127582730795,0.0,PIK3CA,Neurons2,Ependymal,10
312,BDNF,0.34472129834350346,0.0,STAT3,Neurons2,Ependymal,10
524,AGT,0.3428859632680674,0.0,PIK3CA,Neurons2,Ependymal,10
3574,BDNF,0.32893256886326716,0.0,SIK1,Neurons2,Ependymal,10
530,FGF14,0.324264747588692,0.0,PIK3CA,Neurons2,Ependymal,10
314,AGT,0.3158959857842629,0.0,STAT3,Neurons2,Ependymal,10
518,FGFR3,0.2716799075763906,0.0,PIK3CA,Neurons2,Ependymal,10
509,FGF9,0.253869644506411,0.0,PIK3CA,Neurons2,Ependymal,10
499,TYK2,0.2474055809724025,0.0,PIK3CA,Neurons2,Ependymal,10
311,FGFR3,0.24468993009258613,0.0,STAT3,Neurons2,Ependymal,10
296,TYK2,0.220415603488598,0.0,STAT3,Neurons2,Ependymal,10
2041,SST,0.21348534086369017,0.0,F3,Neurons2,Ependymal,10
2928,AGT,0.20927625780521658,0.0,ADRA2A,Neurons2,Ependymal,10
3345,RSPO3,0.19844322709846374,0.0,LGR4,Neurons2,Ependymal,10
208,BDNF,0.18646423745646623,0.0,MAPK8,Neurons2,Ependymal,10
2942,NMU,0.14220287929514075,0.0,ADRA2A,Neurons2,Ependymal,10
213,DUSP18,0.1029992806737447,0.0,MAPK8,Neurons2,Ependymal,10
2816,TYK2,0.08881353692854,0.0,STAT6,Neurons2,Ependymal,10
1298,TYK2,0.05097004953259375,0.0,EIF2AK2,Neurons2,Ependymal,10
3942,ALCAM,0.8070961461419109,0.0,CHL1,Neurons2,NG2,10
4279,SPON1,0.6273619329789928,0.0,LRP8,Neurons2,NG2,10
