,TF,target,importance
94,Nkx2-2,Sh3bp4,25.502505865440085
154,Tsc22d1,Il33,25.41255183804997
26,Dbp,Tnfaip6,25.389067121869456
157,Tub,3110035E14Rik,25.370007836825515
28,Dlx1,Bex2,25.343349036545167
68,Junb,H1f0,25.179121824949878
136,Sox6,9530059O14Rik,25.146616461929824
9,Atf3,Socs3,25.126951931085255
159,Zbtb16,Klf9,25.075864964510178
154,Tsc22d1,Spock3,25.06742572745191
28,Dlx1,Meg3,25.047305823264384
16,Cdc5l,Actb,25.025390054486014
43,Fos,Sepp1,24.86911012827318
154,Tsc22d1,Opalin,24.802485540526224
9,Atf3,Ddit3,24.78383149518965
154,Tsc22d1,Camsap2,24.7808222691288
157,Tub,G0s2,24.533006248858143
72,Klf9,B3galt5,24.51167552559759
160,Zbtb16,Ankrd12,24.457695738889015
53,Gsx1,Fabp7,24.38423432799457
53,Gsx1,Tsc22d1,24.286831737346883
154,Tsc22d1,Scg2,24.2097202171316
154,Tsc22d1,Nrcam,24.196049407430742
136,Sox6,Fut9,24.191739887192764
53,Gsx1,3110035E14Rik,24.083396221909858
26,Dbp,Ubc,24.046662553919578
94,Nkx2-2,Spon1,24.036137952447874
99,Nr1d2,Sgk1,24.021630207891533
89,Myt1l,Syt16,23.969115156469137
53,Gsx1,Spon1,23.93892442786755
89,Myt1l,Ngfrap1,23.93881293111438
94,Nkx2-2,Marcks,23.904492251709534
68,Junb,Utp14b,23.834621727102594
86,Mycl,Spock3,23.82695290733442
111,Pou3f2,Tubb2a,23.75356748990223
68,Junb,Per1,23.735004848052775
44,Fosb,H1f0,23.726955423573965
67,Jun,Plin3,23.705039108616003
136,Sox6,Cers4,23.689618591749632
94,Nkx2-2,Dynll1,23.54711533486972
154,Tsc22d1,Spon1,23.519614274886635
154,Tsc22d1,Rab33a,23.441187435653582
154,Tsc22d1,Meg3,23.285553627895986
27,Ddit3,Tppp3,23.27288143675506
99,Nr1d2,Tnfaip6,23.25895820621735
43,Fos,Klf6,23.17279436375323
158,Tulp3,Tmem141,23.12485994633712
86,Mycl,Fbn2,23.120609751254804
86,Mycl,Clmn,23.092355353846308
70,Klf4,Ier2,22.982652930712586
157,Tub,Gpr17,22.975130828319738
94,Nkx2-2,Timp4,22.941834860492236
94,Nkx2-2,Ermn,22.876316837241486
26,Dbp,Klf9,22.8751534616179
136,Sox6,Atp1a2,22.801547813045833
9,Atf3,Arc,22.758466455825054
157,Tub,Fam3c,22.747377551836944
86,Mycl,Gng12,22.67566879731563
86,Mycl,Tnfaip6,22.660728034764134
72,Klf9,Sulf2,22.612478848945567
157,Tub,Syt1,22.5953525664858
89,Myt1l,Tub,22.451709183585464
86,Mycl,BC005561,22.402094760043177
136,Sox6,Acsl3,22.35029832339095
157,Tub,Ttc3,22.340236602962275
26,Dbp,Tppp3,22.248747611385536
98,Nr1d1,Gstp1,22.22779717106547
157,Tub,Lsamp,22.213523242536183
16,Cdc5l,Nfasc,22.198551246150735
154,Tsc22d1,Pmp22,22.17272662663458
44,Fosb,Hspa1a,22.05679419395515
154,Tsc22d1,Cldn5,22.038703381583062
160,Zbtb16,Hsp90aa1,22.01235112706944
67,Jun,Klf4,22.00812942615798
86,Mycl,Prkar2b,21.968719399084115
26,Dbp,Tmod2,21.95424218840665
42,Fos,Ddit3,21.94794188497995
154,Tsc22d1,Pde4d,21.90438742157415
72,Klf9,Plin4,21.898151542277116
98,Nr1d1,Bex2,21.888983062151063
33,Egr1,Hist1h1c,21.884444791497703
44,Fosb,Hmgcs1,21.804038778386047
99,Nr1d2,Ankrd12,21.798886614567117
